Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55
MA,1,Pb,1,I,3
MA,1,Pb,1,Br; I,0.6; 2.4
MA,1,Pb,1,Br; I,1.2; 1.8
MA,1,Pb,1,I,3
MA,1,Pb,1,Br; I,0.6; 2.4
MA,1,Pb,1,Br; I,1.2; 1.8
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4
Cs,1,Pb,1,Br; I,1; 2
Cs,1,Pb,1,Br; I,1; 2
MA,3,Bi,2,I,9
MA,3,Bi,2,I,9
Cs,1,Pb,1,Br,3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br,3 | 3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 2; 1
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 1; 2
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | I,3 | 3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
MA,1,Pb,1,I,3
FA; MA,0.8; 0.8,Pb,1,Br; I,0.06; 2.96
FA; MA,0.8; 0.8,Pb,1,Br; I,0.06; 2.96
FA; MA,0.8; 0.8,Pb,1,Br; I,0.06; 2.96
